rank,method,model_name,layer,iter,token_num
11,FLEX,mixtral-8x7b-e16k4,0,15,51457
11,FLEX,mixtral-8x7b-e16k4,0,16,51154
11,FLEX,mixtral-8x7b-e16k4,0,17,53885
11,FLEX,mixtral-8x7b-e16k4,0,18,69146
11,FLEX,mixtral-8x7b-e16k4,0,19,59338
11,FLEX,mixtral-8x7b-e16k4,0,20,59952
11,FLEX,mixtral-8x7b-e16k4,0,21,60569
11,FLEX,mixtral-8x7b-e16k4,0,22,60618
11,FLEX,mixtral-8x7b-e16k4,0,23,60135
11,FLEX,mixtral-8x7b-e16k4,0,24,59198
11,FLEX,mixtral-8x7b-e16k4,0,25,61583
11,FLEX,mixtral-8x7b-e16k4,0,26,59957
11,FLEX,mixtral-8x7b-e16k4,0,27,60431
11,FLEX,mixtral-8x7b-e16k4,0,28,59195
11,FLEX,mixtral-8x7b-e16k4,0,29,60637
12,FLEX,mixtral-8x7b-e16k4,0,0,80303
12,FLEX,mixtral-8x7b-e16k4,0,1,59274
12,FLEX,mixtral-8x7b-e16k4,0,2,58664
12,FLEX,mixtral-8x7b-e16k4,0,3,58429
12,FLEX,mixtral-8x7b-e16k4,0,4,57811
12,FLEX,mixtral-8x7b-e16k4,0,5,58223
12,FLEX,mixtral-8x7b-e16k4,0,6,59392
12,FLEX,mixtral-8x7b-e16k4,0,7,57088
12,FLEX,mixtral-8x7b-e16k4,0,8,59166
12,FLEX,mixtral-8x7b-e16k4,0,9,60449
12,FLEX,mixtral-8x7b-e16k4,0,10,59905
12,FLEX,mixtral-8x7b-e16k4,0,11,59285
12,FLEX,mixtral-8x7b-e16k4,0,12,60672
12,FLEX,mixtral-8x7b-e16k4,0,13,58756
12,FLEX,mixtral-8x7b-e16k4,0,14,59864
12,FLEX,mixtral-8x7b-e16k4,0,15,59386
12,FLEX,mixtral-8x7b-e16k4,0,16,60468
12,FLEX,mixtral-8x7b-e16k4,0,17,59646
12,FLEX,mixtral-8x7b-e16k4,0,18,58852
12,FLEX,mixtral-8x7b-e16k4,0,19,59908
12,FLEX,mixtral-8x7b-e16k4,0,20,57637
12,FLEX,mixtral-8x7b-e16k4,0,21,59963
12,FLEX,mixtral-8x7b-e16k4,0,22,58729
12,FLEX,mixtral-8x7b-e16k4,0,23,59256
12,FLEX,mixtral-8x7b-e16k4,0,24,58403
12,FLEX,mixtral-8x7b-e16k4,0,25,57628
12,FLEX,mixtral-8x7b-e16k4,0,26,58757
12,FLEX,mixtral-8x7b-e16k4,0,27,57526
12,FLEX,mixtral-8x7b-e16k4,0,28,57836
12,FLEX,mixtral-8x7b-e16k4,0,29,57763
13,FLEX,mixtral-8x7b-e16k4,0,0,63609
13,FLEX,mixtral-8x7b-e16k4,0,1,72432
13,FLEX,mixtral-8x7b-e16k4,0,2,70317
13,FLEX,mixtral-8x7b-e16k4,0,3,72404
13,FLEX,mixtral-8x7b-e16k4,0,4,71980
13,FLEX,mixtral-8x7b-e16k4,0,5,70921
13,FLEX,mixtral-8x7b-e16k4,0,6,70378
13,FLEX,mixtral-8x7b-e16k4,0,7,70601
13,FLEX,mixtral-8x7b-e16k4,0,8,70930
13,FLEX,mixtral-8x7b-e16k4,0,9,70114
13,FLEX,mixtral-8x7b-e16k4,0,10,68821
13,FLEX,mixtral-8x7b-e16k4,0,11,71796
13,FLEX,mixtral-8x7b-e16k4,0,12,68638
13,FLEX,mixtral-8x7b-e16k4,0,13,70315
13,FLEX,mixtral-8x7b-e16k4,0,14,68832
13,FLEX,mixtral-8x7b-e16k4,0,15,68677
13,FLEX,mixtral-8x7b-e16k4,0,16,69228
13,FLEX,mixtral-8x7b-e16k4,0,17,69869
13,FLEX,mixtral-8x7b-e16k4,0,18,70058
13,FLEX,mixtral-8x7b-e16k4,0,19,69149
13,FLEX,mixtral-8x7b-e16k4,0,20,70865
13,FLEX,mixtral-8x7b-e16k4,0,21,70733
13,FLEX,mixtral-8x7b-e16k4,0,22,70123
13,FLEX,mixtral-8x7b-e16k4,0,23,68929
13,FLEX,mixtral-8x7b-e16k4,0,24,70564
13,FLEX,mixtral-8x7b-e16k4,0,25,70372
13,FLEX,mixtral-8x7b-e16k4,0,26,70297
13,FLEX,mixtral-8x7b-e16k4,0,27,70868
13,FLEX,mixtral-8x7b-e16k4,0,28,69072
13,FLEX,mixtral-8x7b-e16k4,0,29,69775
14,FLEX,mixtral-8x7b-e16k4,0,0,72274
14,FLEX,mixtral-8x7b-e16k4,0,1,70906
14,FLEX,mixtral-8x7b-e16k4,0,2,71328
14,FLEX,mixtral-8x7b-e16k4,0,3,72389
14,FLEX,mixtral-8x7b-e16k4,0,4,70491
14,FLEX,mixtral-8x7b-e16k4,0,5,73985
14,FLEX,mixtral-8x7b-e16k4,0,6,73246
14,FLEX,mixtral-8x7b-e16k4,0,7,74519
14,FLEX,mixtral-8x7b-e16k4,0,8,71300
14,FLEX,mixtral-8x7b-e16k4,0,9,73222
14,FLEX,mixtral-8x7b-e16k4,0,10,71022
14,FLEX,mixtral-8x7b-e16k4,0,11,70741
14,FLEX,mixtral-8x7b-e16k4,0,12,70741
14,FLEX,mixtral-8x7b-e16k4,0,13,71275
14,FLEX,mixtral-8x7b-e16k4,0,14,71593
14,FLEX,mixtral-8x7b-e16k4,0,15,72766
14,FLEX,mixtral-8x7b-e16k4,0,16,71086
14,FLEX,mixtral-8x7b-e16k4,0,17,70556
14,FLEX,mixtral-8x7b-e16k4,0,18,63730
14,FLEX,mixtral-8x7b-e16k4,0,19,64008
14,FLEX,mixtral-8x7b-e16k4,0,20,62177
14,FLEX,mixtral-8x7b-e16k4,0,21,61488
14,FLEX,mixtral-8x7b-e16k4,0,22,65294
14,FLEX,mixtral-8x7b-e16k4,0,23,62954
14,FLEX,mixtral-8x7b-e16k4,0,24,61510
14,FLEX,mixtral-8x7b-e16k4,0,25,62892
14,FLEX,mixtral-8x7b-e16k4,0,26,62836
14,FLEX,mixtral-8x7b-e16k4,0,27,64259
14,FLEX,mixtral-8x7b-e16k4,0,28,63035
14,FLEX,mixtral-8x7b-e16k4,0,29,63540
15,FLEX,mixtral-8x7b-e16k4,0,0,45928
15,FLEX,mixtral-8x7b-e16k4,0,1,57928
15,FLEX,mixtral-8x7b-e16k4,0,2,60842
15,FLEX,mixtral-8x7b-e16k4,0,3,57846
15,FLEX,mixtral-8x7b-e16k4,0,4,59370
15,FLEX,mixtral-8x7b-e16k4,0,5,58613
15,FLEX,mixtral-8x7b-e16k4,0,6,57742
15,FLEX,mixtral-8x7b-e16k4,0,7,56391
15,FLEX,mixtral-8x7b-e16k4,0,8,57980
15,FLEX,mixtral-8x7b-e16k4,0,9,57775
15,FLEX,mixtral-8x7b-e16k4,0,10,59820
15,FLEX,mixtral-8x7b-e16k4,0,11,58114
15,FLEX,mixtral-8x7b-e16k4,0,12,58028
15,FLEX,mixtral-8x7b-e16k4,0,13,59079
15,FLEX,mixtral-8x7b-e16k4,0,14,57841
15,FLEX,mixtral-8x7b-e16k4,0,15,58564
15,FLEX,mixtral-8x7b-e16k4,0,16,59652
15,FLEX,mixtral-8x7b-e16k4,0,17,56807
15,FLEX,mixtral-8x7b-e16k4,0,18,64914
15,FLEX,mixtral-8x7b-e16k4,0,19,66404
15,FLEX,mixtral-8x7b-e16k4,0,20,69089
15,FLEX,mixtral-8x7b-e16k4,0,21,65933
15,FLEX,mixtral-8x7b-e16k4,0,22,63900
15,FLEX,mixtral-8x7b-e16k4,0,23,67649
15,FLEX,mixtral-8x7b-e16k4,0,24,67317
15,FLEX,mixtral-8x7b-e16k4,0,25,68579
15,FLEX,mixtral-8x7b-e16k4,0,26,67268
15,FLEX,mixtral-8x7b-e16k4,0,27,65724
